industry	keywords
Industrial IoT	"IIoT, sensor, manufacturing, automation, data analytics, machine-to-machine, smart factory, predictive maintenance, connectivity"
AdTech	"advertising technology, programmatic, online advertising, targeting, retargeting, DSP, SSP, marketing analytics, ad inventory"
Psychedelics	"psychedelic medicine, mental health, therapy, hallucinogen, psilocybin, LSD, MDMA, research, clinical trial"
Nano	"nanotechnology, nanomaterials, nanoscale, nanoparticles, nanodevices, nanoscience, quantum, molecular, self-assembly"
Connected Life	"IoT, wearables, smart home, mobile devices, data, connectivity, home automation, remote monitoring, health tracking"
PropTech	"property technology, real estate, smart building, leasing, property management, investment, virtual tour, construction, IoT"
Data Centers	"data storage, cloud computing, infrastructure, colocation, server, cooling, power, disaster recovery, virtualization"
Data Infrastructure	"data storage, cloud, big data, networking, data integration, database, security, data processing, analytics"
Automotive	"vehicle, electric, autonomous, transportation, automotive technology, connected car, mobility, manufacturing, charging infrastructure"
IoT	"internet of things, sensor, connectivity, smart device, data, automation, network, M2M, embedded system, wireless"
Fashion	"apparel, clothing, style, design, textile, sustainability, retail, trend, e-commerce, wearables"
Travel	"tourism, accommodation, booking, destination, leisure, online travel agency, experience, hospitality, trip, vacation"
Cloud Ops	"cloud operations, infrastructure, DevOps, scaling, monitoring, orchestration, automation, deployment, container, microservices"
LegalTech	"legal technology, contract management, compliance, AI, automation, e-discovery, law practice, document review, legal analytics, case management"
Space Tech	"aerospace, satellite, space exploration, launch, rocket, payload, Earth observation, space debris, commercial space, orbit"
Telecoms	"telecommunications, mobile network, broadband, 5G, wireless, spectrum, voice over IP, fiber, infrastructure, roaming"
FamilyTech	"parenting, child development, education, family planning, safety, communication, health, baby monitoring, tracking, entertainment"
E-commerce	"online shopping, retail, marketplace, payment, logistics, mobile commerce, customer experience, personalization, digital store, fulfillment"
Sharing Economy	"peer-to-peer, platform, sharing, collaborative consumption, gig economy, access, rental, service, trust, community"
Defense	"military, security, surveillance, drone, weapon, cybersecurity, intelligence, homeland security, counter-terrorism, defense technology"
Energy Efficiency	"energy conservation, sustainable, green building, retrofit, smart grid, demand management, energy management, insulation, energy audit"
Search	"search engine, information retrieval, natural language processing, query, indexing, ranking, semantic search, voice search, relevance, recommendation"
Edge Computing	"distributed computing, latency, IoT, data processing, network, cloud, real-time, analytics, edge device, local storage"
Web3	"decentralized web, blockchain, peer-to-peer, smart contract, cryptocurrency, data sovereignty, identity, tokenization, DApp"
3D Printing	"additive manufacturing, rapid prototyping, material, layer, FDM, SLA, CAD, print bed, industrial, customization"
Electrification	"electric vehicle, charging infrastructure, energy storage, grid, battery, power electronics, electric motor, renewable energy, e-mobility"
API-First	"application programming interface, REST, GraphQL, microservices, web service, integration, developer, endpoint, JSON, documentation"
AR/MR/VR	"augmented reality, mixed reality, virtual reality, immersive, headset, hologram, 3D, spatial computing, interaction, simulation"
Transportation	"mobility, public transit, logistics, electric vehicle, autonomous vehicle, infrastructure, ride-sharing, urban planning, freight, shipping"
Economic Empowerment	"financial inclusion, microfinance, poverty reduction, access to capital, entrepreneurship, job creation, education, social impact, equal opportunity"
Beauty	"cosmetics, skincare, makeup, haircare, personal care, wellness, grooming, fragrance, beauty tech, retail"
Sport & Wellness	"fitness, sports, wellness, health, wearables, coaching, nutrition, mental health, exercise, training"
Crypto	"cryptocurrency, blockchain, bitcoin, ethereum, digital currency, token, decentralized, wallet, trading, ledger"
Physical Storage	"warehousing, logistics, inventory management, fulfillment, self-storage, security, facility, cold storage, records, supply chain"
Payments	"payment processing, digital wallet, mobile payment, e-commerce, transaction, payment gateway, fintech, credit card, remittance, secure"
InfoSec	"information security, cybersecurity, data protection, encryption, vulnerability, threat, privacy, malware, intrusion detection"
Analytics	"data analysis, business intelligence, reporting, data visualization, dashboard, data mining, machine learning, big data, predictive"
Autonomous Driving	"self-driving, autonomous vehicle, AI, robotics, sensor, computer vision, lidar, transportation, mobility, safety"
Computer Vision	"image recognition, AI, machine learning, deep learning, object detection, facial recognition, OCR, segmentation, video analytics"
Creator Economy	"content creator, social media, influencer, monetization, platform, subscription, digital art, NFT, gig economy, collaboration"
InsurTech	"insurance technology, digital insurance, claims processing, underwriting, risk management, telematics, AI, automation, customer experience"
Biodiversity	"conservation, ecosystem, wildlife, habitat, species, endangered, restoration, climate change, genetics, sustainability"
Energy Storage	"battery, grid, renewable energy, power, lithium-ion, capacity, energy efficiency, electric vehicle, storage system, demand response"
Deep Tech	"advanced technology, innovation, AI, quantum computing, nanotechnology, biotechnology, material science, robotics, photonics"
RegTech	"regulatory technology, compliance, risk management, reporting, AI, machine learning, data analytics, automation, financial services"
Carbon Capture	"CO2 capture, carbon storage, climate change, greenhouse gas, emission, carbon sequestration, CCS, direct air capture, geoengineering"
Circular Economy	"waste reduction, recycling, sustainability, resource efficiency, circular design, upcycling, zero waste, materials, business model"
Carbon Removal	"carbon dioxide removal, negative emissions, climate change, carbon capture, direct air capture, reforestation, geoengineering, ocean"
Productivity	"efficiency, time management, organization, collaboration, workflow, task management, goal setting, software, project management"
5G Networks	"5G, mobile network, wireless, IoT, broadband, low latency, connectivity, infrastructure, telecommunications, edge computing"
Cloud Computing	"cloud services, infrastructure, storage, platform, software as a service, virtualization, security, data management, scalability"
FinTech	"financial technology, banking, payments, lending, digital wallet, blockchain, investment, AI, personal finance, mobile banking"
Metaverse	"virtual world, augmented reality, virtual reality, blockchain, gaming, social, digital identity, NFT, immersive, 3D"
Disinformation	"fake news, misinformation, propaganda, media manipulation, social media, deepfake, fact-checking, online trust, cognitive bias"
Retail	"e-commerce, brick and mortar, shopping, customer experience, omnichannel, inventory management, point of sale, merchandising, supply chain"
Climate Tech/CleanTech	"renewable energy, sustainability, carbon capture, energy efficiency, clean transportation, green technology, waste management, environment"
Infrastructure Tech	"infrastructure, smart city, transportation, utilities, connectivity, public services, urban planning, IoT, energy, water management"
Mobile	"smartphone, app, mobile technology, wireless, connectivity, mobile computing, mobile network, 5G, mobile payment, mobile advertising"
Data Storage	"cloud storage, database, data center, storage solution, backup, disaster recovery, data management, hardware, scalability"
Generative AI	"generative adversarial network, GAN, deep learning, neural network, AI, machine learning, content generation, data augmentation, synthesis"
Big Data	"data processing, analytics, data mining, storage, machine learning, Hadoop, data management, distributed computing, data lake"
Extremism	"radicalization, terrorism, hate speech, online radicalization, far-right, ideology, violence, counter-terrorism, social media"
Connected Home	"smart home, IoT, home automation, security, energy management, connected devices, remote control, wireless, smart appliances"
Network Infrastructure	"internet backbone, data transmission, routers, switches, fiber optics, wireless, networking, SDN, WAN, network security"
Food & Beverage	"food industry, restaurant, food production, food safety, agriculture, beverage, nutrition, foodtech, supply chain, catering"
Data Management	"data governance, data quality, data integration, master data management, data security, data architecture, database, ETL, data warehousing"
