Unnamed: 0.1,Unnamed: 0,id,name,cb_description,industry1,score1,industry2,score2,industry3,score3
20,20,1351,42Lab,modular portable affordable biotech laboratory student mathematic stem education require country school struggle introduce biotechnology student high equipment cost troublesome experiment preparation solve problem provide portable modular biotech equipment student conduct experiment companion app serve electronic manual student management tool teacher vision bring biotech experience student like pi computer science,edtech,0.275,nano,0.264,food & beverage,0.236
21,21,8307,4-Antibody-AG,develop human antibody drug discovery platform generate antibody therapeutic focus immuno oncology technology platform design generate therapeutic antibody drug candidate incorporate human antibody library express mammalian b lineage lymphocyte company develop preclinical checkpoint antibody program target gitr found base,biotech,0.507,longevity,0.308,life sciences,0.291
22,22,8780,4energy,locate nottingham produce cool solution deliver energy saving traditional cool product datum centre telecom industry,connected home,0.389,data centers,0.341,physical storage,0.334
23,23,6524,5Mins,s gamified learn platform design help employee improve skill curate short form video content lead creator world make available team business adaptive gamifie learn engine,edtech,0.555,future of work,0.379,esports,0.345
25,25,1504,7bridges,smart logistic platform deliver visibility control logistic process unify data operation enable access global supplier ecosystem world class sustainable logistic operation rapidly achievable reality platform realize future proof sustainable logistic scalable competitive profit growth drive edge,supply chains,0.35,industrial iot,0.327,platforms,0.313
26,26,4084,7digital,global leader end end digital music solution core business provision robust scalable technical infrastructure extensive global music right create music streaming radio service diverse range customer include consumer brand mobile carrier broadcaster automotive system record label retailer offer radio production music curation service editorial strategy content management expertise,analytics,0.37,media,0.361,platforms,0.349
27,27,432,7TM-Pharma,biotech company discover develop drug primary therapeutic focus diabetes gastrointestinal metabolic asthma vascular disease company offer transmembrane span receptor include small molecule receptor antagonist selective agonist gastrointestinal disorder short bowel syndrome antagonist oral drug inflammatory respiratory disease found base lyngby hovedstaden,biotech,0.431,life sciences,0.276,regtech,0.251
28,28,3403,8fit,app help build healthy habit life simple solution support user worldwide individual journey healthier happy life push progress perfection choose good solution quick fix enjoy journey healthiest mind body understand obstacle people face fitness journey not easy s size fit way find lifelong health s building engage approachable way people achieve personal fitness goal,mobile,0.434,happiness & wellbeing,0.318,sport & wellness,0.311
29,29,28,8tracks-Radio,internet radio social network streams user curate song playlist contain track handcraft internet radio network social alternative tune online mixtape track curate people know love music stream legal radio style manner,creator economy,0.329,media,0.298,entertainment,0.296
32,32,8509,a55,developer financial underwriting platform offer revenue back credit line system company recur revenue platform underwrite small medium sized enterprise technology platform connect bank account escrow solution billing payment mean credit intelligence enable borrower credit monitor dashboard insight section revenue cost metric integrate cash flow covenant management system lender monitor platform feed real time transactional datum company found headquarter,fintech,0.434,platforms,0.417,professional services,0.386
33,33,1382,AarogyaAI,aarogyaai artificial intelligence base software service diagnose drug resistant tuberculosis aarogyaai use dna sequence patient upload machine learn algorithm give output report comprehensive drug susceptibility status patient,biotech,0.358,healthcare,0.327,data infrastructure,0.306
35,35,5266,Abacum,abacum saas help finance team deliver business insight abacum collaborative workflow planning platform finance team boost productivity strategic impact company believe empower people good collaborative tool multiply strategic impact organization fulfil,future of work,0.417,analytics,0.381,platforms,0.374
36,36,258,Abacus.AI,artificial intelligence research cloud service company help organization design train operationalize machine deep learning model allow organization plug play deep learning system exist customer experience business process company found base,analytics,0.45,future of work,0.368,sales & crm,0.368
37,37,3853,Abacus-e-Media,abacus e medium bring digital expertise industry specialist creative thinking design build website work believe develop technical solution forge commercial objective business brand strategy produce interactive engage user experience,design,0.413,analytics,0.374,future of work,0.352
38,38,6113,ABA-English,lead learn student worldwide headquarter talented team compose professional country stand unique methodology combine technology pedagogy interaction real teacher mission guide student learn journey empower effective tool achieve goal quickly efficiently recognize good educational app award feature educational app,edtech,0.353,future of work,0.3,sales & crm,0.272
40,40,10663,ABAX,developer supplier tracker system software technology business operate company vehicle product world lead respective field help numerous customer reduce overall fuel spend company vehicle eliminate risk tax penalty,logistics,0.426,sales & crm,0.41,professional services,0.393
42,42,6511,Abcodia,biotechnology company focus discovery validation biomarker cancer screen unique longitudinal serum biobank partnership technology platform provider lead commercial diagnostic company able support end end diagnostic development process found base uk,longevity,0.357,biotech,0.338,regtech,0.319
44,44,9786,Abhi,abhi financial wellness platform provide employee salary advance base accrue wage abhi salary advance app plan change game people spend money allow user withdraw portion accrue salary bank account help employer reduce workload hr finance department facilitate employee need abhi found base,human resources,0.417,professional services,0.402,fintech,0.39
46,46,3255,ABK-Biomedical,combine clinical market biomaterial specialize improve treatment option patient hypervascular tumor company dedicated transform interventional radiology procedure call embolization,healthcare,0.262,medtech,0.255,life sciences,0.216
47,47,5750,Ablynx,ablynx biopharmaceutical company engage discovery development nanobodie novel class therapeutic protein base single domain antibody fragment range human disease include inflammation haematology oncology pulmonary disease approximately project pipeline nanobodie clinical development,biotech,0.437,nano,0.382,life sciences,0.264
48,48,3527,Abogen-Biosciences,abogen bioscience discovery stage biotechnology company focus develop nucleic acid base dna therapeutic treatment cancer infectious disease,biotech,0.5,longevity,0.34,genomics,0.304
49,49,7990,Abokado,own operate chain food bar restaurant offer sushi wraps breakfast juice smoothie drink cake fruit salad soup stir fry food supply lunch company wife found headquarters,food & beverage,0.523,connected home,0.341,professional services,0.307
52,52,3174,AbsolutData,consult orient analytic research firm number client wide variety industry country navik ai platform enterprise blend ai technology datum analytic serve intelligence layer forward think company,future of work,0.443,industrial iot,0.375,business intelligence,0.303
54,54,3436,Acacia-Pharma,pharmaceutical company discover develop supportive care drug company focus cancer supportive care product include injectable formulation oral drug use nausea vomiting use cancer cachexia intravenous formulation use prevention treatment nausea vomiting company concentrate discovery effort cancer relate fatigue cancer cachexia xerostomia incorporate base,life sciences,0.384,healthcare,0.33,biotech,0.308
56,56,4672,ACAL-Energy,developer system module consumable chemical range use include stationary residential automotive application require large kw power innovative design deliver substantial cost saving system performance improvement accelerate adoption pem technology key market,chemicals,0.351,infrastructure tech,0.281,industrial iot,0.28
57,57,739,Accelerated-Payments,accelerated payment enable sme expand grow allow advance cash specific individual invoice accelerate payment create entrepreneur year experience financial service start run business,e-commerce,0.407,professional services,0.406,platforms,0.38
58,58,4924,AccelerComm,accelercomm exciting semiconductor ip core company provide solution accelerate generation wireless communication rel rel technology solve bottleneck limit speed generation wireless communication error correction decode required overcome effect noise interference poor signal strength,iot,0.42,manufacturing,0.292,telecoms,0.279
60,60,6388,Access-Bank,provide banking product service individual business customer offer standard saving current access advantage solo premier account company provide online banking service include online access point sale terminal service bill payment money transfer service,fintech,0.522,payments,0.343,e-commerce,0.331
61,61,6483,AccessFintech,accessfintech offer risk management service bank buyside firm track trade lifecycle help firm track trade lifecycle true sense prioritize risk increase number system bring fintech providers house technology orchestrate interaction distribute provider create single visual display risk financial transaction global sharable view,payments,0.393,fintech,0.383,professional services,0.362
62,62,10138,Access-Intelligence,access intelligence b b medium information company headquarter serve energy defense healthcare management chemical satellite aviation cable medium public relation market,analytics,0.386,professional services,0.337,industrial iot,0.332
63,63,3427,Accuri-Cytometers,found address compelling need life scientist love rapid cell cell analysis capability flow cytometer flow cytometer lab barrier researcher include cost instrument complexity software effort require maintenance large bench space require instrument result company look develop affordable robust cytometer,longevity,0.33,oceantech,0.223,biotech,0.214
64,64,10601,Accutrainee,accutrainee found run solicitor understand legal industry challenge deliver legal service client critical need commercial approach whilst stay sensitive partnership ethos profession understand trainee process having experience hand,legaltech,0.431,professional services,0.393,procurement,0.291
65,65,8817,AccuVein,accuvein specialize vein visualization technology flagship product hand hold non contact vein illumination solution allow healthcare professional map peripheral vein skin surface goal access avoid vein build proprietary technology embody grow patent portfolio cover broad range image medical diagnostic technology company found headquartered medford,medtech,0.349,healthcare,0.343,industrial iot,0.322
66,66,7247,Acea-Health,acea health digital company develop application call new digital consent platform analyse number factor include patient background deliver personalise risk benefit aim solution consent,healthcare,0.345,social networks,0.292,insurtech,0.289
67,67,6553,Acesion-Pharma,acesion developer medical drug design treatment atrial fibrillation company medical drug develop treatment atrial fibrillation common type cardiac arrhythmia follow concept inhibit type ion channel heart cell involve generate electrical signal regulate heart rhythm provide consumer chronic treatment prevent recurrence maintain normal heart rhythm,life sciences,0.332,healthcare,0.317,biotech,0.273
69,69,6532,Achilles-Therapeutics,developer immunotherapy intend offer generation patient specific therapy treat cancer company immunotherapie harness immune system destroy cancer cell target truncal tumor neo antigen flag immune system present surface cancer cell enable scientist target destroy tumor harm healthy tissue,biotech,0.409,life sciences,0.36,longevity,0.345
70,70,7485,Achillion-Pharmaceuticals,achillion drive transform live patient family affect disease complement system integral innate immune system clinical evidence implicate complement system specifically complement alternative pathway ap numerous devastating disease condition principal focus achillion advance clinical stage portfolio orally administer factor d inhibitor late stage development potential commercialization patient devastating disorder complement system,life sciences,0.336,biotech,0.28,gut microbiome,0.232
72,72,10086,Acousticeye,establish bring acoustic technology industry company develop manufacturer market mobile embed tube inspection device patent pende technology offer accurate rapid single point inspection inaccessible tube company dolphin system unique ability quickly find accurately locate defect complex tube system regardless material need physically traverse probe tube,industrial iot,0.335,medtech,0.335,oceantech,0.31
73,73,10194,Acre,acre rebuild uks mortgage market ground vertically integrate mortgage stack new end end platform broker lender,economic empowerment,0.265,platforms,0.256,fintech,0.229
74,74,4981,AcreTrader,agricultural real estate invest platform help buyer buy share farmland online platform provides transparency flexibility ease use people want invest farmland handling aspect administration property management insurance account work local farmer improve soil sustainability company found headquarter,platforms,0.309,agtech,0.309,professional services,0.305
75,75,3893,ACS-Clothing,provider men hirewear lead retailer ireland wtih extensive range formalwear highlandwear provide outfit wearer range garment available hire company grow proud supply large menswear retailer,fashion,0.53,procurement,0.383,e-commerce,0.293
77,77,7159,Actionality,actionality offer mobile marketing technology solution company adflextm platform enable user develop mobile commercial standardized format campaign logic support update rotation modification interaction reporting serve advertiser mobile operator content provider company found base sale office subsidiary,mobile,0.297,platforms,0.29,professional services,0.279
78,78,4904,Activiomics,develop groundbreake patented technology enable transformation way biomarker identify diagnostic develop drug candidate identify profiled technology centre novel mass spectrometry base approach global quantitative analysis phosphorylation site phosphorylation critical mediator cellular process site phosphorylation represent important class novel biomarker tiquas target depth quantification cell technology enable quantification phosphorylation event give tissue sample subsequent marker response identify enable development future diagnostic,biotech,0.365,longevity,0.317,business intelligence,0.253
79,79,3073,Actronika,build haptic platform enable seamless system integration leader haptic technology provide cut edge vibrotactile module integrate client system develop human machine interface solution patent haptic technology human bear touch order form relationship learn engaged environment face digitize world mission engage people tangible material experience hardware software possible,gaming,0.318,ar/mr/vr,0.307,future of work,0.299
82,82,20,Acutus-Medical,develop medical technology treat complex cardiac arrhythmia company platform display heart true activation pattern turn chaos complex arrhythmia clear vision electrophysiologist privately fund company found base product co develop exceptional team medical scientist biomedical engineer professional found headquarter,analytics,0.353,healthcare,0.311,food & beverage,0.269
84,84,1262,Adaface,build conversational round tech interview candidate love interview turn analyse candidate think process timely hint ask follow question accurately gauge skill shortlist qualified candidate role company invest time engage candidate,human resources,0.337,professional services,0.287,sales & crm,0.273
85,85,3279,Adagene,clinical stage biotech company specialize develop immuno oncology antibodie novel epitope proprietary increase success rate substantially accelerate time market reduce cost associate develop therapeutic antibody,biotech,0.43,longevity,0.283,life sciences,0.245
86,86,321,Adallom,found cyber defense veteran cloud access security broker deliver visibility governance protection cloud application innovative platform simple deploy seamless user available saas base solution advanced heuristic back elite cybersecurity research team adallom make easy protect data cloud adallom abbreviation say ad halom literally mean line defense information visit follow,cybersecurity,0.437,defense,0.379,security,0.341
87,87,5787,Adaptate-Biotherapeutics,adaptate biotherapeutic company develop antibody modulate gamma delta t cells situ company found hayday headquartered,biotech,0.33,longevity,0.312,life sciences,0.164
89,89,9851,ADC-Biotechnology,adc bio develop new process technology help drug developer meet conjugation process challenge test production new antibody drug conjugate anti cancer drug technology signal fast simple costly development exciting new family drug,biotech,0.483,longevity,0.368,life sciences,0.343
90,90,10620,ADC-Therapeutics,adc therapeutic clinical stage oncology drug discovery development company focus advance highly potent target antibody drug conjugate adcs treatment hematological cancer solid tumor adcs develop late generation pyrrolobenzodiazepine dimer technology provide superior therapeutic index compare generation adcs preclinical study dimer potent toxin actively kill cancer cell differentiate mechanism action warhead commonly adcs,biotech,0.441,life sciences,0.319,psychedelics,0.285
93,93,5062,Addition-Wealth,addition wealth holistic financial wellness platform empower employee smart informed financial decision take tech forward approach combine digital tool online event expert content access financial professional addition make personalized financial expertise inclusive accessible employee addition partner forward think employer help employee money,professional services,0.425,fintech,0.346,human resources,0.33
95,95,3020,Adepto,adepto piering way company view manage entire workforce ve create total talent ecosystem bring internal external worker place point solution complete solution start global operation tribe hard work dedicated diverse mind passionate create solution organisation people centre,future of work,0.481,human resources,0.334,economic empowerment,0.316
97,97,3863,Adept-Technology-Group,provider communication solution adept unite communication innovation use technology bring idea solution business help succeed simply deliver product service help business grow competitive increase profitability improve way communicate customer employee,communications,0.373,5g networks,0.359,analytics,0.353
98,98,3957,Adestra,empower client maximize marketing roi email drive technology year flexible account structure obsession customer success award win service gain trust global enterprise grow brand alike found principle marketing success take technology s customer service heart business service service office,sales & crm,0.408,professional services,0.397,analytics,0.372
99,99,5565,Adfenix,collect sense world real estate data platform estate agent empower help consumer journey buy new home offer quality advertising product relate service click button,platforms,0.397,sharing economy,0.354,sales & crm,0.347
101,101,5791,Adiana,engage development testing transcervical sterilization system permanent birth control develop complete tcs consist radiofrequency generator delivery catheter implantable matrix company found base subsidiary,medtech,0.378,healthcare,0.349,femtech,0.336
102,102,6702,Adikteev,lead app engagement platform performance drive marketer consistently rank appsflyer performance index help world spend game app publisher increase retention reacquire churn user drive incremental revenue thank measure engagement strategy creative algorithm serve customer world office emea,sales & crm,0.411,platforms,0.409,martech,0.364
103,103,4175,Adjug,online advertising marketplace connect buyer seller online advertising provide transparency control choice publisher control online inventory increase earning advertiser run well campaign know conversion traffic come found idea improve way advertising gets buy sell ad network connect advertiser publisher directly seek lead online advertising marketplace,media,0.412,platforms,0.357,sales & crm,0.338
104,104,9546,ADMA-Biologics,specialty immune globulin company develop manufacture intend market plasma base biologic target niche patient population treatment prevention certain infectious disease target patient population include immune compromise individual suffer underlie immune deficiency disease immune suppress medical reason operate biocenter fda license source plasma collection facility provide portion blood plasma manufacturing lead product candidate,biotech,0.37,regtech,0.309,procurement,0.303
105,105,10703,Adona-Medical,privately hold portfolio company innovate interventional approach heart failure complex progressive condition impact patient patient globally platform overcome shortcoming exist treatment option enable provider improve care heart failure patient,professional services,0.335,healthcare,0.258,legaltech,0.244
107,107,6666,Adsum,fintech company proprietary tech identify client tax credit maximize deliver client account handle entire reclaim process client focus investment growth headquarter found,platforms,0.428,professional services,0.389,fintech,0.355
108,108,3470,Advance-Intelligence-Group,ai drive technology company leverage innovative technology partnership build ecosystem product service serve consumer enterprise merchant,platforms,0.521,future of work,0.399,professional services,0.369
109,109,10212,Advantage-Club,provide ai drive platform intend drive employee engagement deliver program connect benefit brand organization client employee company intend provide end end solution facilitate meaningful client employee engagement exclusive privilege reward provide brand partner,future of work,0.473,platforms,0.402,sharing economy,0.393
112,112,6721,Adviva,operate online advertising network target brand advertiser behavioural contextual target technology connect advertiser consumer want reach,media,0.43,adtech,0.375,fashion,0.371
113,113,2430,Advizzo,want use behavioural science enrich people live insight household datum change way people think water gas electricity world preserve natural resource,climate tech/cleantech,0.365,infrastructure tech,0.284,connected home,0.277
115,115,29,Adyen,operate technology company brazil offer platform integrate gateway risk management processing acquire settlement payment directly connect merchant payment method sale channel include merchant online mobile point sale channel found headquarters,professional services,0.343,e-commerce,0.329,logistics,0.328
117,117,7489,AEA-Technology,lead energy climate change consultancy deliver visionary integrate environmental solution worldwide assist government evidence base policy development solve environmental challenge improve organisational performance,greentech,0.383,professional services,0.361,productivity,0.335
118,118,10,Aegerion-Pharmaceuticals,biopharmaceutical company engage development commercialization therapeutic pharmaceutical treat cardiovascular metabolic disease develop lomitapide microsomal triglyceride transfer protein inhibitor small molecule drug decrease serum lipid include cholesterol triglyceride treat atherosclerosis dyslipidemia obesity pancreatitis company focus product evaluation treatment hyperlipidemia incorporate headquarter,life sciences,0.278,biotech,0.272,nutrition,0.27
123,123,9044,Aether-Bio,developer machine learn technology purpose enzyme order create new compound technology utilize machine learn combine high throughput robotic laboratory create entirely new compound reinvent production previously discover compound enable healthcare institutes chemical material need cheap sustainable company proprietary hardware allow massively parallelize experimentation generating dataset order magnitude large competition,chemicals,0.411,biotech,0.353,industrial iot,0.336
124,124,2215,AFC-Wimbledon,afc wimbledon continuation long exist franchising league place team win notably rise dead look come home,esports,0.267,death tech,0.236,connected life,0.232
127,127,754,Africa-Logistic-Properties,integrate property investment development property company dedicate modern grade logistic industrial sector management team include senior property professional industrial investment experience emerge market back global institutional investor,data management,0.336,proptech,0.332,professional services,0.31
128,128,780,Afrocenchix,afro haircare market grow fast big player not understand customer problem ve problem customer centric datum drive approach help formulate manufacture sell bottle safe effective product far award win product feature publication indy good list average star review customer getting start,beauty,0.384,analytics,0.377,fashion,0.36
130,130,5924,Agar-Scientific,lead manufacturer distributor scientific laboratory equipment focus electron microscopy consumable alan company enjoy global recognition provider high quality component excellent customer service,manufacturing,0.334,connected home,0.283,deep tech,0.276
131,131,10408,Agilyx,believe time right expand advanced recycling give post use plastic new circular life convert valuable material original building block reuse enable plastic circularity global commercial scale aim play vital role accelerate shift low carbon economy co found waste plastic management company work directly industry participant engineer customize plastic recovery program supply advanced chemical recycling facility,greentech,0.436,circular economy,0.433,chemicals,0.37
132,132,6158,AGNITiO,agnitio worldwide market leader product agnitio government organization prevent crime identify criminal provide evidence court agnitio extensive customer base include lead police intelligence military government organization country agnitio product number lead customer partner contact center financial service telecommunication enterprise security sector,professional services,0.303,sales & crm,0.292,analytics,0.281
133,133,4453,AgPlus-diagnostics,develop diagnostic platform technology deliver demand market requirement true quantitative product use wide range clinical application,healthcare,0.41,medtech,0.36,regtech,0.277
135,135,6875,Agriconomie,agtech e commerce company provide farmer variety online tool include purchase support personalize advice information source share input supplier offer datum service advertising software division company found paolin pascot,procurement,0.341,agtech,0.315,industrial iot,0.285
136,136,9245,AgriWebb,software company focus livestock production industry product enable simplified farm data collection analysis improve management efficiency decision make benchmarke transparency integrate horizontal vertical supply chain s founder come generation livestock production aim transform livestock industry datum drive decision make build intuitive farm datum recording,business intelligence,0.335,future of work,0.327,agtech,0.325
137,137,1338,Agrosight,analytic company help agronomist farm unit integrate new stream unique valuable data decision make process agrosight detect plant disease early hyper spectral signal dramatically reduce cost food production,business intelligence,0.345,industrial iot,0.295,security,0.284
138,138,6346,AgroStar,found foremost start up working mission helpingfarmerswin s omnichannel platform provide end end solution farmer helping grow well enable increase yield reduce cost cultivation solution power extensive datum agronomy knowledge omnichannel approach enhance reach cover farmer country currently operate states gujarat maharashtra state avail agri solution entire crop life cycle simple agri advisory center agri doctor app visit retail store,agtech,0.387,retail,0.302,professional services,0.281
140,140,824,Ai-Build,base company develop technology large scale additive manufacturing believe additive manufacture core technology achieve sustainable environment highly efficient demand economy team creative enthusiastic people strong background area print robotic computer vision machine learn computational design physics partnering world innovative company investor bring disruptive autonomous large scale print technology wide range industrial application purpose empower factory future easy smart sustainable affordable,manufacturing,0.407,chemicals,0.394,future of work,0.391
141,141,4774,Aidence,aidence rally datum scientist software engineer medical regulatory business professional provide intelligent software lung cancer pathway clinical application ai solution pulmonary nodule management ct run routine practice lung cancer screen programme,professional services,0.328,biotech,0.3,future of work,0.283
142,142,3517,AI-Medical-Service,start company develop artificial intelligence bring wisdom endoscopic specialist contribute development endoscopic medical care worldwide,future of work,0.309,healthcare,0.284,analytics,0.274
143,143,1368,AIMLedge,develop software platform automate development deployment customize deep learning software edge device brand computing ability specialize optimize solution low end commodity camera platform reduce development time solution enable plug play deployment vision democratize cut edge ai business industry size,future of work,0.372,platforms,0.327,robotics,0.28
144,144,3573,AInnovation,own operate company offer product service base artificial intelligence different company platform use technology recognition vision computer learn machine process natural language offer advantage efficiency algorithm permit company improve productivity performance enable business enhance efficiency value achieve digital transformation,analytics,0.451,future of work,0.406,professional services,0.32
145,145,1219,Ai-Palette,world artificial intelligence platform fmcg product innovation create win product concept line brand personality exist product portfolio garner insight digital conversation couple company datum create product concept address unmet need consumer,design,0.347,food & beverage,0.346,professional services,0.333
148,148,4070,Aircall,aircall provide cloud base voice platform integrate productivity helpdesk tool workplace phone support easy manage,communications,0.46,mobile,0.392,future of work,0.353
149,149,10231,Airex,smart ventilation control build intelligent air ventilation unit atmospheric sensor cloud algorithm company develop retrofit smart ventilation control system control airflow air brick owner benefit decrease energy bill warm home enhance thermal comfort healthy home minimal disturbance compromise air quality smart algorithm allow automatic air flow regulation take account local weather air quality datum found headquarter,climate tech/cleantech,0.299,connected home,0.297,energy efficiency,0.287
151,151,2082,AirPublic,provide world city citizen dynamic granular representative datum air pollution currently available develop expertise apply environmental sensing emerge smart city revolution,carbon capture,0.392,climate tech/cleantech,0.367,mobility,0.258
152,152,6136,AirSense-Wireless,market leader work wi fi network enable seamless switch network demand wireless service increase need technology mission change mobile datum forever,iot,0.414,telecoms,0.33,5g networks,0.318
153,153,6552,Airstrip-Technologies,platform securely deliver critical patient information include virtual real time waveform datum directly hospital monitoring system doctor nurse smart phone laptop desktop platform completely reusable scalable datum independent employ healthcare enterprise,healthcare,0.421,cloud infrastructure,0.404,data storage,0.365
154,154,2641,Airsupply,airsupply demand teacher marketplace provide vet verify substitute supply teacher help school save money pay teacher,edtech,0.328,social impact,0.319,procurement,0.313
155,155,8828,Airvet,airvet telehealth platform design offer continuity care pet parent veterinarian aim support strengthen exist relationship veterinarian client engage client pet parent video real time chat drive clinic revenue create continuity care achievable innovative veterinary community company found headquarter,healthcare,0.424,medtech,0.29,beauty,0.29
156,156,5236,Aiven,aiven technology drive company enable business manage open source datum infrastructure cloud headquarter office sydney provide manage open source data technology like major cloud enable customer drive business result open source trigger true transformation far backyard,cloud infrastructure,0.448,platforms,0.363,industrial iot,0.325
157,157,5934,Ajenta,globally focus business work closely client create simple cost effective communication tool change way people collaborate,analytics,0.423,future of work,0.411,social networks,0.38
158,158,6049,Akeero,akeero assist product security team design deliver secure cloud infrastructure begin develop automate threat model platform assist product team produce buggy product customer use product build threat model gain visibility cyber asset achieve compliance,cybersecurity,0.396,platforms,0.355,defense,0.35
161,161,5693,Akoni-Hub,tech startup currently build business focus cash s future expansion product aim use technology machine learn improve financial outcome business,future of work,0.371,analytics,0.366,professional services,0.363
162,162,4358,Akrivia-Health,provide datum research clinical trial optimization molecular characterization mental health dementia provide assistance process early stage drug discovery market analysis clinical trial revenue management,biotech,0.401,psychedelics,0.396,life sciences,0.323
163,163,5338,Aktiia,found passion turn insight action fight hypertension aktiia groundbreaking medical technology provide people physician comprehensive insight blood pressure pattern inform diagnosis management hypertension available receive ce mark class iia medical device signify device assess meet high safety health environmental protection requirement learn visit,professional services,0.308,healthcare,0.307,happiness & wellbeing,0.281
164,164,10708,Akura-Medical,develop generation thrombectomy device aims simplify thrombectomy easy use single pass procedure efficiently remove blood clot,healthcare,0.319,medtech,0.29,manufacturing,0.174
165,165,7016,Alaan,multi currency spend management platform enable sme digitise business expense provide employee corporate card company purchase automate invoicing process,fintech,0.418,crypto,0.401,professional services,0.388
166,166,83,Alan,stop health partner access healthy productive life empower body mind service include intuitive health insurance offer clinic navigate healthcare system mind mental offer thing people healthier happy productive new independent insurance license operate raise,happiness & wellbeing,0.364,sextech,0.353,professional services,0.298
167,167,5937,Alaric-Systems,provide orient payment software product bank retailer issuer acquirer service provider globally company strategic alliance mastercard sun microsystem incorporate headquartered international office,professional services,0.422,procurement,0.396,e-commerce,0.391
168,168,6769,Alasco,alasco support project controller developer automate workflow availability financial datum place central information source increase productivity participant method decrease probability error assure comprehensive transparency fast decision make,future of work,0.466,productivity,0.419,automation,0.417
169,169,8866,albo,lead challenger bank help manage money adapt lifestyle bring honest service care offer mobile banking app banking account card allow easily spend save invest money open account phone having disposal personalized financing tool help assist make well financial decision able free money transfer whichever bank include innovate function one mention,fintech,0.522,payments,0.404,professional services,0.399
171,171,7463,Alchemab-Therapeutics,develop natural protective antibody design people free hard treat disease company building transformative engine identify drug target develop pipeline antibody therapeutic hard treat cancer neurodegenerative condition infectious disease establish,biotech,0.414,life sciences,0.373,longevity,0.267
176,176,9110,Alena,use neuroscience base game assess user behaviour identify think pattern drive key mental health disorder deeply understanding suggest optimal intervention dynamically adapt user change need found bring lead figure world computational neuroscience psychiatry user centric innovation learn website,happiness & wellbeing,0.325,neuro,0.302,life sciences,0.294
177,177,7263,Aleph-Alpha,mission transform human machine interaction research develop deploy large language model run fast commercial ai cluster generative ai solution enable enterprise governmental organization build truly intelligent product,future of work,0.493,productivity,0.312,food & beverage,0.27
